Title,Note,URL,Tags,Comment
,,,,
Samwoojung,,https://www.google.com/maps/place/Samwoojung/data=!4m2!3m1!1s0x89c2596568c74e1d:0x2d1e837d97066148,,
Em Vietnamese Bistro,,https://www.google.com/maps/place/Em+Vietnamese+Bistro/data=!4m2!3m1!1s0x89c25b0b1c49020d:0x5050438fd4dfb8e8,,
Meze,,https://www.google.com/maps/place/Meze/data=!4m2!3m1!1s0x89c245393f448e65:0xd4efb9fb98dce435,,
Katagiri Japanese Grocery,,https://www.google.com/maps/place/Katagiri+Japanese+Grocery/data=!4m2!3m1!1s0x89c25903de8d13f1:0xbcf60d3ae35c35d5,,
Mozzlab,,https://www.google.com/maps/place/Mozzlab/data=!4m2!3m1!1s0x89c25b29c5516929:0xeb44de9f509b9674,,
Whitney Museum of American Art,,https://www.google.com/maps/place/Whitney+Museum+of+American+Art/data=!4m2!3m1!1s0x89c25894ea097337:0xc63f52f9d53d7889,,
TOWA,,https://www.google.com/maps/place/TOWA/data=!4m2!3m1!1s0x89c25965a0bc6f01:0xf45e70f28a65aaee,,
Greyz Bistro,,https://www.google.com/maps/place/Greyz+Bistro/data=!4m2!3m1!1s0x89c25be8001db37d:0x6f015775f60c5300,,
AY GUEY NYC,,https://www.google.com/maps/place/AY+GUEY+NYC/data=!4m2!3m1!1s0x89c25f82cbdd8001:0x9342b5326a09d31d,,
Cappone's Italian Sandwich Shop and Salumeria,,https://www.google.com/maps/place/Cappone's+Italian+Sandwich+Shop+and+Salumeria/data=!4m2!3m1!1s0x89c259bf5c95659b:0x7fb88a3417830137,,
Janie's Life Changing Baked Goods,,https://www.google.com/maps/place/Janie's+Life+Changing+Baked+Goods/data=!4m2!3m1!1s0x89c259af74914bc1:0x44a857fe1373ef92,,
Lioni Italian Heroes,,https://www.google.com/maps/place/Lioni+Italian+Heroes/data=!4m2!3m1!1s0x89c2451494346737:0xe4fe0964d60ea506,,
Aita,,https://www.google.com/maps/place/Aita/data=!4m2!3m1!1s0x89c25bbb98df18ff:0x8f24e16050c19c44,,
The Back Room,,https://www.google.com/maps/place/The+Back+Room/data=!4m2!3m1!1s0x89c259811e7d8d9d:0xac44d532c045cf7e,,
Fraunces Tavern,,https://www.google.com/maps/place/Fraunces+Tavern/data=!4m2!3m1!1s0x89c25a146ccfe39f:0xfc075ae041658ede,,
Oyatte,,https://www.google.com/maps/place/Oyatte/data=!4m2!3m1!1s0x89c259000e310549:0xeffec967691a878b,,
Brooklyn Diner USA,,https://www.google.com/maps/place/Brooklyn+Diner+USA/data=!4m2!3m1!1s0x89c258f7986e5f8f:0x5acf86cddfd87133,,
ICHIRAN Ramen NY Times Square,,https://www.google.com/maps/place/ICHIRAN+Ramen+NY+Times+Square/data=!4m2!3m1!1s0x89c259598989a063:0x8f1595e92419e152,,
Nabila's,,https://www.google.com/maps/place/Nabila's/data=!4m2!3m1!1s0x89c25b393187bf71:0xecc1ffa3d9b70697,,
No Stress Coffee,,https://www.google.com/maps/place/No+Stress+Coffee/data=!4m2!3m1!1s0x89c259b57d365dbf:0x3232fbbd911389b7,,
Ginvee Matcha,,https://www.google.com/maps/place/Ginvee+Matcha/data=!4m2!3m1!1s0x89c259007f76b3db:0x1aaaa291c31aa89c,,
Kape't Torta,,https://www.google.com/maps/place/Kape't+Torta/data=!4m2!3m1!1s0x89c25ffc8d001ef3:0xc5f7e6fdbc8e3c91,,
Dumpling N’ Dips,,https://www.google.com/maps/place/Dumpling+N%E2%80%99+Dips/data=!4m2!3m1!1s0x89c259853a5de761:0x6ce6eebc2a68c701,,
I am Kimchi,,https://www.google.com/maps/place/I+am+Kimchi/data=!4m2!3m1!1s0x89c26122f5db6367:0x74edd185c20bcc8d,,
El Aguila,,https://www.google.com/maps/place/El+Aguila/data=!4m2!3m1!1s0x89c2f608ab1105c5:0x2bae49e845ae728d,,
Chu Ros Thai NYC,,https://www.google.com/maps/place/Chu+Ros+Thai+NYC/data=!4m2!3m1!1s0x89c25996a1c9c0f5:0x45dec86cc400ee6,,
Veselka,,https://www.google.com/maps/place/Veselka/data=!4m2!3m1!1s0x89c2599c5ce21097:0x755d2ae66dc781a7,,
Cheong Fun Cart,,https://www.google.com/maps/place/Cheong+Fun+Cart/data=!4m2!3m1!1s0x89c2598821d49b3b:0x32e876eec64f0086,,
Tony Dragon's Grille,,https://www.google.com/maps/place/Tony+Dragon's+Grille/data=!4m2!3m1!1s0x89c258efcca3ffdf:0x17bfaacb284299db,,
La Pecora Bianca SoHo,,https://www.google.com/maps/place/La+Pecora+Bianca+SoHo/data=!4m2!3m1!1s0x89c259a16099ee7d:0x17036863ece661fe,,
La Pecora Bianca NoMad,,https://www.google.com/maps/place/La+Pecora+Bianca+NoMad/data=!4m2!3m1!1s0x89c259a5d30bfd3d:0x88ed7e15edfea20f,,
Ohayō Bread House,,https://www.google.com/maps/place/Ohay%C5%8D+Bread+House/data=!4m2!3m1!1s0x89c24500518bc9ab:0x7d3c162eed2abb57,,
Laza Dessert Cafe,,https://www.google.com/maps/place/Laza+Dessert+Cafe/data=!4m2!3m1!1s0x89c245d84eecd383:0xbc65cbe6380c60bb,,
Graziella's of Brooklyn Wood Burning Pizza,,https://www.google.com/maps/place/Graziella's+of+Brooklyn+Wood+Burning+Pizza/data=!4m2!3m1!1s0x89c25bb9b9548105:0xd2bc1b36e2de3e3b,,
Kin ramen,,https://www.google.com/maps/place/Kin+ramen/data=!4m2!3m1!1s0x89c259550a748577:0xca22ff3a89d99fe5,,
gertrude’s,,https://www.google.com/maps/place/gertrude%E2%80%99s/data=!4m2!3m1!1s0x89c25b40b5911c9d:0x53cff4af495f7e2,,
Mom's Momo,,https://www.google.com/maps/place/Mom's+Momo/data=!4m2!3m1!1s0x89c2592d7b7e48bf:0xd49b02d33601e546,,
Queen Ann Ravioli and Macaroni,,https://www.google.com/maps/place/Queen+Ann+Ravioli+and+Macaroni/data=!4m2!3m1!1s0x89c24519db61ce5b:0xbff71b85cf3bfeeb,,
Nogari Korean Gastropub | Midtown Manhattan,,https://www.google.com/maps/place/Nogari+Korean+Gastropub+%7C+Midtown+Manhattan/data=!4m2!3m1!1s0x89c259caa081238f:0xc6c7e185dd5a0601,,
Raffetto's Fresh Pasta,,https://www.google.com/maps/place/Raffetto's+Fresh+Pasta/data=!4m2!3m1!1s0x89c259920a09f8b5:0x3f20bac53469e40b,,
Park Asia,,https://www.google.com/maps/place/Park+Asia/data=!4m2!3m1!1s0x89c2454f3705963f:0xcd1e96594e89262f,,
Rollin Bagels (Food Truck),,https://www.google.com/maps/place/Rollin+Bagels+(Food+Truck)/data=!4m2!3m1!1s0x89c259a07a22e36b:0x5aaa9851aa661fc9,,
Court Street Bagels,,https://www.google.com/maps/place/Court+Street+Bagels/data=!4m2!3m1!1s0x89c25a4fc36c8dbd:0x68af5dd319514c97,,
12 Chairs Cafe,,https://www.google.com/maps/place/12+Chairs+Cafe/data=!4m2!3m1!1s0x89c2598d92069b6d:0x4fb98179ce650dfd,,
Court Square Diner,,https://www.google.com/maps/place/Court+Square+Diner/data=!4m2!3m1!1s0x89c25928c205ac37:0xf2f4a268cc70dc32,,
Midnight Blue,,https://www.google.com/maps/place/Midnight+Blue/data=!4m2!3m1!1s0x89c2590061641209:0x445d108edb760940,,
BCD Tofu House,,https://www.google.com/maps/place/BCD+Tofu+House/data=!4m2!3m1!1s0x89c259a8fb73f6dd:0xf6e5befab6a237be,,
Lucy's Vietnamese - Bedford Stuyvesant,,https://www.google.com/maps/place/Lucy's+Vietnamese+-+Bedford+Stuyvesant/data=!4m2!3m1!1s0x89c25b988b609b39:0xb8a08e4aa3586068,,
Fairfax,,https://www.google.com/maps/place/Fairfax/data=!4m2!3m1!1s0x89c25994612f264b:0x7cc536e0bc92d5ea,,
The Iridium,,https://www.google.com/maps/place/The+Iridium/data=!4m2!3m1!1s0x89c25856265dceff:0x6b395082ed73d5cd,,
Bill's Supper Club,,https://www.google.com/maps/place/Bill's+Supper+Club/data=!4m2!3m1!1s0x89c2598ba428c4e5:0x5a40f69662b56262,,
