Restaurants I need to try in Seattle

Title,Note,URL,Tags,Comment
,,,,
Bonhomie Coffee Bar (at Labour Temple),,https://www.google.com/maps/place/Bonhomie+Coffee+Bar+(at+Labour+Temple)/data=!4m2!3m1!1s0x54906bff53cc73cf:0x3634002bde671d11,,
Shawarma buzz,,https://www.google.com/maps/place/Shawarma+buzz/data=!4m2!3m1!1s0x5490159b767219fb:0x800abf4aa7330235,,
Danji Korean Cuisine,,https://www.google.com/maps/place/Danji+Korean+Cuisine/data=!4m2!3m1!1s0x54906ffbd6914f69:0x38818e7cba0e934c,,
Made in House,,https://www.google.com/maps/place/Made+in+House/data=!4m2!3m1!1s0x549015890207c545:0xe2017f9a7d6c79f6,,
Rajdhani Thali Restaurant,,https://www.google.com/maps/place/Rajdhani+Thali+Restaurant/data=!4m2!3m1!1s0x54906f9c123adb79:0xd33f735c25a481b1,,
UG Tea - Bellevue,,https://www.google.com/maps/place/UG+Tea+-+Bellevue/data=!4m2!3m1!1s0x54906d8f3016a0f7:0x658fcea4925c4b06,,
Pufftown Bakehouse,,https://www.google.com/maps/place/Pufftown+Bakehouse/data=!4m2!3m1!1s0x808e1660fbd98677:0x597c76a3f4a7422,,
Andalucia Restaurant,,https://www.google.com/maps/place/Andalucia+Restaurant/data=!4m2!3m1!1s0x5490150011ac9045:0x4f3ee1de6760b3de,,
Hunan Spicy kitchen,,https://www.google.com/maps/place/Hunan+Spicy+kitchen/data=!4m2!3m1!1s0x549015001949df27:0xd0b3292ffcf597e7,,
Jin Jin Matcha,,https://www.google.com/maps/place/Jin+Jin+Matcha/data=!4m2!3m1!1s0x54906b00720c2e1b:0xd0f54a192583bc76,,
Maddy's Bakeshop,,https://www.google.com/maps/place/Maddy's+Bakeshop/data=!4m2!3m1!1s0x5490153a9eae152f:0x2407d47550569982,,
Grean Matcha,,https://www.google.com/maps/place/Grean+Matcha/data=!4m2!3m1!1s0x549015af79790e45:0x4c72b16c3ecc84a2,,
Blue Ridge Coffee House,,https://www.google.com/maps/place/Blue+Ridge+Coffee+House/data=!4m2!3m1!1s0x549017006621cbd9:0x18176e1078989655,,
PARAN korean grill,,https://www.google.com/maps/place/PARAN+korean+grill/data=!4m2!3m1!1s0x54901555b96b06ab:0x8fe650d220436e04,,
Wagyu Factory BBQ & Shabu | Seattle,,https://www.google.com/maps/place/Wagyu+Factory+BBQ+%26+Shabu+%7C+Seattle/data=!4m2!3m1!1s0x549011189b690e71:0x402ad7a0ae924a2,,
Offline Coffee Co.,,https://www.google.com/maps/place/Offline+Coffee+Co./data=!4m2!3m1!1s0x54901572d621c8ff:0x2f1eaaa0610cf9de,,
Conspagna Ethiopian Restaurant,,https://www.google.com/maps/place/Conspagna+Ethiopian+Restaurant/data=!4m2!3m1!1s0x54906b613fae89ef:0xcba556ccb30e3083,,
Mina’s Matcha,,https://www.google.com/maps/place/Mina%E2%80%99s+Matcha/data=!4m2!3m1!1s0x549015003e921181:0x27a53b9fe529ba6e,,
The Rebel,,https://www.google.com/maps/place/The+Rebel/data=!4m2!3m1!1s0x5490150059a92b87:0x59c00edcc9af1d0c,,
Ms Saigon Kitchen,,https://www.google.com/maps/place/Ms+Saigon+Kitchen/data=!4m2!3m1!1s0x54906f46ca1ea8c7:0xdcece777f5bc08de,,
Bobae Korean Noodle House & Bar 보배반점,,https://www.google.com/maps/place/Bobae+Korean+Noodle+House+%26+Bar+%EB%B3%B4%EB%B0%B0%EB%B0%98%EC%A0%90/data=!4m2!3m1!1s0x54906fe645395527:0x1d56a05a7bf3352,,
Jaded Bagels,,https://www.google.com/maps/place/Jaded+Bagels/data=!4m2!3m1!1s0x54901158d6dc56b3:0x622bd75889e870a,,
BA Artisan Bakehouse,,https://www.google.com/maps/place/BA+Artisan+Bakehouse/data=!4m2!3m1!1s0x54906d007898e4c5:0x7bcd31bb763f4891,,
Teews,,https://www.google.com/maps/place/Teews/data=!4m2!3m1!1s0x54901100446f984f:0x8e7d496de73f015f,,
