Title,Note,URL,Tags,Comment
,,,,
Can Am Pizza,,https://www.google.com/maps/place/Can+Am+Pizza/data=!4m2!3m1!1s0x54906c7debf4c0f3:0x7adad947f74f9bd7,,
Pufftown Bakehouse,,https://www.google.com/maps/place/Pufftown+Bakehouse/data=!4m2!3m1!1s0x808e1660fbd98677:0x597c76a3f4a7422,,
Maddy's Bakeshop,,https://www.google.com/maps/place/Maddy's+Bakeshop/data=!4m2!3m1!1s0x5490153a9eae152f:0x2407d47550569982,,
Grean Matcha,,https://www.google.com/maps/place/Grean+Matcha/data=!4m2!3m1!1s0x549015af79790e45:0x4c72b16c3ecc84a2,,
Jaded Bagels,,https://www.google.com/maps/place/Jaded+Bagels/data=!4m2!3m1!1s0x54901158d6dc56b3:0x622bd75889e870a,,
The Rebel,,https://www.google.com/maps/place/The+Rebel/data=!4m2!3m1!1s0x5490150059a92b87:0x59c00edcc9af1d0c,,
Ms Saigon Kitchen,,https://www.google.com/maps/place/Ms+Saigon+Kitchen/data=!4m2!3m1!1s0x54906f46ca1ea8c7:0xdcece777f5bc08de,,
Sushi Kappo Tamura,,https://www.google.com/maps/place/Sushi+Kappo+Tamura/data=!4m2!3m1!1s0x549014e4deb25877:0xa26ccd41fd33a67b,,
Chengdu Memory 蓉城老火锅,,https://www.google.com/maps/place/Chengdu+Memory+%E8%93%89%E5%9F%8E%E8%80%81%E7%81%AB%E9%94%85/data=!4m2!3m1!1s0x54906b9c4dd0c9a5:0xd3223c422e30c6c1,,
Aroom Coffee Waterfront,,https://www.google.com/maps/place/Aroom+Coffee+Waterfront/data=!4m2!3m1!1s0x54906b41eda5fbbd:0xfbfdd4596c68e8d0,,
EL Pastorsito Taqueria,,https://www.google.com/maps/place/EL+Pastorsito+Taqueria/data=!4m2!3m1!1s0x54905b0024bbdd49:0x4eae4202de2061c9,,
Serenity Moon Tea,,https://www.google.com/maps/place/Serenity+Moon+Tea/data=!4m2!3m1!1s0x54905be2fa218ea7:0xe042a774ab3d998e,,
BAS-QUE Bakery,,https://www.google.com/maps/place/BAS-QUE+Bakery/data=!4m2!3m1!1s0x549055f96b45eb5f:0xd387ce82fede78ae,,
Roy Southern Thai Cuisine Phinney,,https://www.google.com/maps/place/Roy+Southern+Thai+Cuisine+Phinney/data=!4m2!3m1!1s0x549015000eb8f25d:0x80be0a5ad5a3cc49,,
Mangosteen's chicken Shop,,https://www.google.com/maps/place/Mangosteen's+chicken+Shop/data=!4m2!3m1!1s0x54904314d6346aa3:0x36501de9798f367b,,
Junbi Matcha & Tea - Seattle,,https://www.google.com/maps/place/Junbi+Matcha+%26+Tea+-+Seattle/data=!4m2!3m1!1s0x54906bb29ee40b9d:0x565fe5f4aebdc02a,,
Easy Caribbean,,https://www.google.com/maps/place/Easy+Caribbean/data=!4m2!3m1!1s0x54901556652377ed:0xb57eb59463e65ba4,,
CM Chicken Seattle,,https://www.google.com/maps/place/CM+Chicken+Seattle/data=!4m2!3m1!1s0x549015fbb31a5a39:0x9b824eef94cbedf1,,
LE GREY TEA CO.,,https://www.google.com/maps/place/LE+GREY+TEA+CO./data=!4m2!3m1!1s0x54906bd5bb2bfea5:0x818f0ec90a95c3a3,,
The Walrus and the Carpenter,,https://www.google.com/maps/place/The+Walrus+and+the+Carpenter/data=!4m2!3m1!1s0x549015b8617bf16f:0x9972ed637e066c6d,,
Momi Indian Kitchen,,https://www.google.com/maps/place/Momi+Indian+Kitchen/data=!4m2!3m1!1s0x5490155c5893855d:0x289244543f62e243,,
La Marea Marisqueria,,https://www.google.com/maps/place/La+Marea+Marisqueria/data=!4m2!3m1!1s0x54901568c7d8d273:0x2df270410047fd30,,
iconiq,,https://www.google.com/maps/place/iconiq/data=!4m2!3m1!1s0x54906af3c37940bd:0x6a80cce7fc0ecac8,,
Gao Lhao Bangkok Noodle Shop,,https://www.google.com/maps/place/Gao+Lhao+Bangkok+Noodle+Shop/data=!4m2!3m1!1s0x5490154d71bf8477:0xdbffb872532ac6e3,,
The Little Beast Ballard,,https://www.google.com/maps/place/The+Little+Beast+Ballard/data=!4m2!3m1!1s0x549015302e0c84d1:0x524cb0fc5c57003c,,
Dilli-6,,https://www.google.com/maps/place/Dilli-6/data=!4m2!3m1!1s0x54900d138b38ee4d:0x8368ea5b978d04d1,,
Nirvana,,https://www.google.com/maps/place/Nirvana/data=!4m2!3m1!1s0x549015b1326cbb4f:0x99344123a5710126,,
The Cat and Rabbitt Cake Shop,,https://www.google.com/maps/place/The+Cat+and+Rabbitt+Cake+Shop/data=!4m2!3m1!1s0x549055a3c46b9d6d:0xf62a1eb04192fe62,,
EJ Burger,,https://www.google.com/maps/place/EJ+Burger/data=!4m2!3m1!1s0x549007ac33c07f13:0xdac65ba28d9c0378,,
Toshi's Teriyaki Grill,,https://www.google.com/maps/place/Toshi's+Teriyaki+Grill/data=!4m2!3m1!1s0x549005df24988687:0x35b7ad8e1141012d,,
Green Valley Hanapa’a Poke,,https://www.google.com/maps/place/Green+Valley+Hanapa%E2%80%99a+Poke/data=!4m2!3m1!1s0x54905c6a229730b5:0x9df393f757e777d6,,
Campana's Pizzeria,,https://www.google.com/maps/place/Campana's+Pizzeria/data=!4m2!3m1!1s0x5490391a79fde02b:0xd19c94b57ae3bc88,,
Ta Joia,,https://www.google.com/maps/place/Ta+Joia/data=!4m2!3m1!1s0x54900fa9c5f04361:0x98f82d7269421134,,
Kuzma Fish Market LLC,,https://www.google.com/maps/place/Kuzma+Fish+Market+LLC/data=!4m2!3m1!1s0x54901ab734240001:0xd36d0f1fb19bed06,,
T55 Pâtisserie,,https://www.google.com/maps/place/T55+P%C3%A2tisserie/data=!4m2!3m1!1s0x54900fa03e68eec3:0x53a7c614f6b311ef,,
Gyro Boss,,https://www.google.com/maps/place/Gyro+Boss/data=!4m2!3m1!1s0x549011d1f4217671:0xcd70e66b79af9a74,,
Ramen Nori,,https://www.google.com/maps/place/Ramen+Nori/data=!4m2!3m1!1s0x54906d8e343740b9:0x2e7bb14a41f81f4f,,
Rimini Restaurant,,https://www.google.com/maps/place/Rimini+Restaurant/data=!4m2!3m1!1s0x54901398fc10b615:0xc5f41b4849ff25eb,,
Bobae Coffee & Tea,,https://www.google.com/maps/place/Bobae+Coffee+%26+Tea/data=!4m2!3m1!1s0x5490133d05c65fa3:0xa53f1c726c76b8f9,,
Crawfish House,,https://www.google.com/maps/place/Crawfish+House/data=!4m2!3m1!1s0x549043de13565cc7:0x7697d9c87e8ea0db,,
La Cabaña Seattle,,https://www.google.com/maps/place/La+Caba%C3%B1a+Seattle/data=!4m2!3m1!1s0x549016af939ddd9f:0x4fbc7cd7e5479a43,,
Ristorante Picolinos,,https://www.google.com/maps/place/Ristorante+Picolinos/data=!4m2!3m1!1s0x549015d9595a6537:0x50bccfc503c7a45e,,
Bloom Bistro & Grocery,,https://www.google.com/maps/place/Bloom+Bistro+%26+Grocery/data=!4m2!3m1!1s0x549041001c45a179:0x8bef1b80cfa0f82b,,
Cornuto Pizzeria,,https://www.google.com/maps/place/Cornuto+Pizzeria/data=!4m2!3m1!1s0x5490143b39cb738d:0xe71a6261ed1ffa78,,
Delancey,,https://www.google.com/maps/place/Delancey/data=!4m2!3m1!1s0x5490142d230de207:0x73a92b6f13b47b5,,
Rupee Bar,,https://www.google.com/maps/place/Rupee+Bar/data=!4m2!3m1!1s0x549015d06bd33d59:0x59dbc052eebb20ba,,
Kricket Club,,https://www.google.com/maps/place/Kricket+Club/data=!4m2!3m1!1s0x54901522b07b08f1:0x34a83129e64e5699,,
Thaiku,,https://www.google.com/maps/place/Thaiku/data=!4m2!3m1!1s0x5490143a01760a27:0x46d7accc01599397,,
Stevie's Famous Beacon Hill,,https://www.google.com/maps/place/Stevie's+Famous+Beacon+Hill/data=!4m2!3m1!1s0x5490410ee8151aa9:0x6a2c9450f250c0ab,,
