Title,Note,URL,Tags,Comment
,,,,
Pepino's Spaghetti House,,https://www.google.com/maps/place/Pepino's+Spaghetti+House/data=!4m2!3m1!1s0x548671c5c83bae81:0xafe70746347a3114,,
The Lunch Lady,,https://www.google.com/maps/place/The+Lunch+Lady/data=!4m2!3m1!1s0x548671a010fed02f:0x457d97169897b9b2,,
Chachas Tandoor and Grill,,https://www.google.com/maps/place/Chachas+Tandoor+and+Grill/data=!4m2!3m1!1s0x5485d9e0462dcb53:0xb05f027ba0d9fd48,,
Northern Cafe,,https://www.google.com/maps/place/Northern+Cafe/data=!4m2!3m1!1s0x5486744b1c355a99:0xd707375c4a088427,,
Pho 37,,https://www.google.com/maps/place/Pho+37/data=!4m2!3m1!1s0x548675027cff0f3b:0x268c22bfdb074e82,,
The Fish Man,,https://www.google.com/maps/place/The+Fish+Man/data=!4m2!3m1!1s0x5486756c4fcd79c5:0xb5159a7bf40da06,,
John 3:16 Malaysian Delights,,https://www.google.com/maps/place/John+3:16+Malaysian+Delights/data=!4m2!3m1!1s0x54860ab58c5c6b8f:0x461be9510a7bebe9,,
Motonobu Udon,,https://www.google.com/maps/place/Motonobu+Udon/data=!4m2!3m1!1s0x548671895ef44493:0x60f8373d6e39572,,
La Quercia & L'Ufficio,,https://www.google.com/maps/place/La+Quercia+%26+L'Ufficio/data=!4m2!3m1!1s0x548672560e5b85df:0xb2eed88e6b9ad843,,
Anh and Chi,,https://www.google.com/maps/place/Anh+and+Chi/data=!4m2!3m1!1s0x548673fb491fec23:0x694b6a6b900672b4,,
Mazahr Lebanese Kitchen,,https://www.google.com/maps/place/Mazahr+Lebanese+Kitchen/data=!4m2!3m1!1s0x5486731ca84906bf:0x33e753b8693cebf9,,
