Places that look delicious.

Title,Note,URL,Tags,Comment
,,,,
Choo Tea,,https://www.google.com/maps/place/Choo+Tea/data=!4m2!3m1!1s0x54867572e8fbe911:0xd7406e9542cb6d47,,
Yin Ji Chang Fen 銀記腸粉,Rice rolls,https://www.google.com/maps/place/Yin+Ji+Chang+Fen+%E9%8A%80%E8%A8%98%E8%85%B8%E7%B2%89/data=!4m2!3m1!1s0x54867558449312a9:0x42c77122ef222502,,
Paul's Kitchen,,https://www.google.com/maps/place/Paul's+Kitchen/data=!4m2!3m1!1s0x5486750ac82b0a09:0x245a17dec2038e6b,,
café de A,,https://www.google.com/maps/place/caf%C3%A9+de+A/data=!4m2!3m1!1s0x5485e101f046e8ff:0xcb201b822511cf35,,
Szechuan tales Restaurant,,https://www.google.com/maps/place/Szechuan+tales+Restaurant/data=!4m2!3m1!1s0x548675e8bab2f749:0x901e60bae7e1d3a9,,
Cloud 9 Delicacy,,https://www.google.com/maps/place/Cloud+9+Delicacy/data=!4m2!3m1!1s0x548675f154cf8915:0xaf003bac210c3c9,,
Saan Saan Cafe and Restaurant,,https://www.google.com/maps/place/Saan+Saan+Cafe+and+Restaurant/data=!4m2!3m1!1s0x548671e834b7246d:0xd9fa2c5c78f72cd,,
Sen Pad Thai,,https://www.google.com/maps/place/Sen+Pad+Thai/data=!4m2!3m1!1s0x548673ce7070a025:0xc18b117fd515a92,,
Oyama Sausage Co,,https://www.google.com/maps/place/Oyama+Sausage+Co/data=!4m2!3m1!1s0x548673ce77bc7a1b:0x50597ce2d8b1a38,,
Tsujiri Richmond,,https://www.google.com/maps/place/Tsujiri+Richmond/data=!4m2!3m1!1s0x5486753a54c8ca65:0x5cf0fb3964ec903,,
Shawarma 2 Go Grill,,https://www.google.com/maps/place/Shawarma+2+Go+Grill/data=!4m2!3m1!1s0x5485dfdaea067f51:0xf79b3284db1d45d5,,
Cheung Hing Food Co,,https://www.google.com/maps/place/Cheung+Hing+Food+Co/data=!4m2!3m1!1s0x548676ab185b64f3:0xa3ee5da8b9c6da10,,
Yung Ho Soy Drink,,https://www.google.com/maps/place/Yung+Ho+Soy+Drink/data=!4m2!3m1!1s0x5486752648b24ff1:0xa308a7bf6b8e0c7b,,
Long's Noodle 上海小龍記,,https://www.google.com/maps/place/Long's+Noodle+%E4%B8%8A%E6%B5%B7%E5%B0%8F%E9%BE%8D%E8%A8%98/data=!4m2!3m1!1s0x54867500365546d7:0xdec466851ba20e2b,,
Golden Ocean Seafood Restaurant,,https://www.google.com/maps/place/Golden+Ocean+Seafood+Restaurant/data=!4m2!3m1!1s0x5486737bc32c22b7:0x7c877e6d65b12f40,,
Tasty Indian Bistro I Delta/Surrey,,https://www.google.com/maps/place/Tasty+Indian+Bistro+I+Delta%2FSurrey/data=!4m2!3m1!1s0x5485d90ce86bce6f:0xa3ae60553b040e35,,
Matsuzushi,,https://www.google.com/maps/place/Matsuzushi/data=!4m2!3m1!1s0x548678e0b4defd73:0x3db6e525b9a50cf5,,
TAKENAKA Uni Bar,,https://www.google.com/maps/place/TAKENAKA+Uni+Bar/data=!4m2!3m1!1s0x54867170ca440001:0x40e35e29edb694ad,,
Sushi K Kamizato,,https://www.google.com/maps/place/Sushi+K+Kamizato/data=!4m2!3m1!1s0x54867f5307d55e7d:0x6cd92fe57d09de1d,,
Yugafu Japanese Bistro,,https://www.google.com/maps/place/Yugafu+Japanese+Bistro/data=!4m2!3m1!1s0x5485d18e7d365ab9:0x9f9fcfb5a61df367,,
Sushi Masuda,,https://www.google.com/maps/place/Sushi+Masuda/data=!4m2!3m1!1s0x5486713004107db1:0xffbe7f6b8bfd0388,,
Torake Japanese Cuisine,,https://www.google.com/maps/place/Torake+Japanese+Cuisine/data=!4m2!3m1!1s0x54860b54aa10b821:0x495bf39e906361b5,,
Sushi Mugen,,https://www.google.com/maps/place/Sushi+Mugen/data=!4m2!3m1!1s0x5486735a16e20e3f:0x2e9253ef307622c,,
Sushi By Yuji,,https://www.google.com/maps/place/Sushi+By+Yuji/data=!4m2!3m1!1s0x548676a449dadc19:0x6204c8492bac2675,,
Dhamaka Indian Restaurant | Vancouver,,https://www.google.com/maps/place/Dhamaka+Indian+Restaurant+%7C+Vancouver/data=!4m2!3m1!1s0x5486757e29bfe9c9:0x7ec7b47282b6d270,,
Monsoon Curry Indian Restaurant,,https://www.google.com/maps/place/Monsoon+Curry+Indian+Restaurant/data=!4m2!3m1!1s0x548673c06630c26b:0xecc016d93b5401f5,,
The Indian Club Kitchen + Bar,,https://www.google.com/maps/place/The+Indian+Club+Kitchen+%2B+Bar/data=!4m2!3m1!1s0x5485d76a5c4423cb:0x2c42610a340c0323,,
USTAAD G76 SURREY CENTRAL,,https://www.google.com/maps/place/USTAAD+G76+SURREY+CENTRAL/data=!4m2!3m1!1s0x5485d963951f8cf9:0xf0f2f7b64a3c3774,,
Mirch Masala Indian Cuisine | Delta/Surrey,,https://www.google.com/maps/place/Mirch+Masala+Indian+Cuisine+%7C+Delta%2FSurrey/data=!4m2!3m1!1s0x5485d852d62cf3ad:0xf455fdf905da1421,,
Krishna's Dosa Grill,,https://www.google.com/maps/place/Krishna's+Dosa+Grill/data=!4m2!3m1!1s0x5485d9a80323b71d:0x1b8344423d85ddb0,,
Chatora Indian Restaurant,,https://www.google.com/maps/place/Chatora+Indian+Restaurant/data=!4m2!3m1!1s0x5485db73516e6f8b:0x7c3eb4eef0b86821,,
Tozen Sushi Bar,,https://www.google.com/maps/place/Tozen+Sushi+Bar/data=!4m2!3m1!1s0x5486737a69a6f179:0x9aa50fb50d89a45,,
Gary's,,https://www.google.com/maps/place/Gary's/data=!4m2!3m1!1s0x54867398419fc909:0x29a4b2a36439c539,,
Toyokan Bowl,,https://www.google.com/maps/place/Toyokan+Bowl/data=!4m2!3m1!1s0x548673003542bc15:0x75ab1abc7c2280f9,,
Osteria Elio Volpe,,https://www.google.com/maps/place/Osteria+Elio+Volpe/data=!4m2!3m1!1s0x5486735ca45d90d7:0x56306e884e11ed33,,
Folietta,,https://www.google.com/maps/place/Folietta/data=!4m2!3m1!1s0x548671f5fa1bf8d7:0x37e0af18e435787b,,
Sumibiyaki Arashi,,https://www.google.com/maps/place/Sumibiyaki+Arashi/data=!4m2!3m1!1s0x5486710f77aa3d1d:0xad7a40a07c60f681,,
Casa Molina,,https://www.google.com/maps/place/Casa+Molina/data=!4m2!3m1!1s0x54867331b2e75c7b:0x576ec565a2d97a21,,
Bar Bravo,,https://www.google.com/maps/place/Bar+Bravo/data=!4m2!3m1!1s0x54867519a08d2007:0x147fd647a0e47100,,
Gary's Patisserie,,https://www.google.com/maps/place/Gary's+Patisserie/data=!4m2!3m1!1s0x54867791b1637d2d:0xfecfa9324dd0d371,,
Anh and Chi,,https://www.google.com/maps/place/Anh+and+Chi/data=!4m2!3m1!1s0x548673fb491fec23:0x694b6a6b900672b4,,
Chachas Tandoor and Grill,,https://www.google.com/maps/place/Chachas+Tandoor+and+Grill/data=!4m2!3m1!1s0x5485d9e0462dcb53:0xb05f027ba0d9fd48,,
Okini Restaurant & Bar,,https://www.google.com/maps/place/Okini+Restaurant+%26+Bar/data=!4m2!3m1!1s0x548675dcdaa061a7:0x22229f86ff774593,,
Saku Richmond,,https://www.google.com/maps/place/Saku+Richmond/data=!4m2!3m1!1s0x5486750034016a91:0x3eb4edf99615d543,,
Katsu San Richmond,,https://www.google.com/maps/place/Katsu+San+Richmond/data=!4m2!3m1!1s0x54860baf877a0bfd:0xbbeb7dc28fc54b8a,,
John 3:16 Malaysian Delights,,https://www.google.com/maps/place/John+3:16+Malaysian+Delights/data=!4m2!3m1!1s0x54860ab58c5c6b8f:0x461be9510a7bebe9,,
Kuroki Kaiseki Omakase Kitchen,,https://www.google.com/maps/place/Kuroki+Kaiseki+Omakase+Kitchen/data=!4m2!3m1!1s0x5485e1d86d240001:0x4957cac44cecc365,,
Steveston Seafood House,,https://www.google.com/maps/place/Steveston+Seafood+House/data=!4m2!3m1!1s0x5485e1d844525dbf:0x52f2df2f27450e2a,,
The Lunch Lady,,https://www.google.com/maps/place/The+Lunch+Lady/data=!4m2!3m1!1s0x548671a010fed02f:0x457d97169897b9b2,,
Earnest Ice Cream | Quebec St.,,https://www.google.com/maps/place/Earnest+Ice+Cream+%7C+Quebec+St./data=!4m2!3m1!1s0x54867160547153bf:0xc0ef31dc28e9564f,,
Fat Mao Noodles (Thai Soup Noodles)-Chinatown,,https://www.google.com/maps/place/Fat+Mao+Noodles+(Thai+Soup+Noodles)-Chinatown/data=!4m2!3m1!1s0x5486716ffe8a24a3:0xc51a1f073759425a,,
Oku Izakaya Bar,,https://www.google.com/maps/place/Oku+Izakaya+Bar/data=!4m2!3m1!1s0x548671a6bef971a3:0x9feec43bbfd479ae,,
Oshi Nori,,https://www.google.com/maps/place/Oshi+Nori/data=!4m2!3m1!1s0x548673a99a49a145:0xa032aca29ef4255e,,
JINMI,,https://www.google.com/maps/place/JINMI/data=!4m2!3m1!1s0x5486730040b0e579:0x2aea4a943e8efb1b,,
Motonobu Udon,,https://www.google.com/maps/place/Motonobu+Udon/data=!4m2!3m1!1s0x548671895ef44493:0x60f8373d6e39572,,
Saba Foods Middle Eastern Yemeni Restaurant,,https://www.google.com/maps/place/Saba+Foods+Middle+Eastern+Yemeni+Restaurant/data=!4m2!3m1!1s0x5485db973ef280ff:0x9867a956228562bf,,
The Fish Man,,https://www.google.com/maps/place/The+Fish+Man/data=!4m2!3m1!1s0x5486756c4fcd79c5:0xb5159a7bf40da06,,
ELEM,,https://www.google.com/maps/place/ELEM/data=!4m2!3m1!1s0x548671003d579b55:0x193e80771b2e34f3,,
Maenam,,https://www.google.com/maps/place/Maenam/data=!4m2!3m1!1s0x548673b6730f9011:0xba08fafb16d5fb62,,
O5 Rare Tea Bar,,https://www.google.com/maps/place/O5+Rare+Tea+Bar/data=!4m2!3m1!1s0x548673b47172e1e5:0xa9a265daf8eaa0dc,,
Parker Place Aberdeen Fresh Meat & BBQ,,https://www.google.com/maps/place/Parker+Place+Aberdeen+Fresh+Meat+%26+BBQ/data=!4m2!3m1!1s0x54867528c0e847fd:0xcc28a03cb270024e,,
NEW SoyTalk,,https://www.google.com/maps/place/NEW+SoyTalk/data=!4m2!3m1!1s0x5486752503b7afab:0x10f8be800cd6a3f4,,
MACU TEA- Capstan Way,,https://www.google.com/maps/place/MACU+TEA-+Capstan+Way/data=!4m2!3m1!1s0x548675f434ce82f7:0x46d86a3815b83628,,
Anny's Dairy Bar,,https://www.google.com/maps/place/Anny's+Dairy+Bar/data=!4m2!3m1!1s0x548677de9311cd7d:0x90ef5f33188f1ed,,
AJ's Brooklyn Pizza Joint,,https://www.google.com/maps/place/AJ's+Brooklyn+Pizza+Joint/data=!4m2!3m1!1s0x5486715f5b05117f:0xccfa3a4410b184ca,,
Straight Brooklyn Pizza,,https://www.google.com/maps/place/Straight+Brooklyn+Pizza/data=!4m2!3m1!1s0x5486717e79b1d179:0x2992d89f5b912f52,,
Little Fox Bakehouse,,https://www.google.com/maps/place/Little+Fox+Bakehouse/data=!4m2!3m1!1s0x54867527b5cade5d:0x186d74e59e6f7d54,,
Kun's Omakase Bar,,https://www.google.com/maps/place/Kun's+Omakase+Bar/data=!4m2!3m1!1s0x5485e17b4ab74667:0x3ff3317fbd3d1d27,,
Amigo Restaurant,,https://www.google.com/maps/place/Amigo+Restaurant/data=!4m2!3m1!1s0x5486752fc86249e7:0x9b9ab7db750aa3d,,
Sanbo Chinese Restaurant,,https://www.google.com/maps/place/Sanbo+Chinese+Restaurant/data=!4m2!3m1!1s0x548675f262b48ddf:0x889bea9687433cb8,,
Hong Kong Flavor Restaurant,,https://www.google.com/maps/place/Hong+Kong+Flavor+Restaurant/data=!4m2!3m1!1s0x5485e173bd6dfe83:0xd747db78de59dfad,,
Harambe Ethiopian Restaurant,,https://www.google.com/maps/place/Harambe+Ethiopian+Restaurant/data=!4m2!3m1!1s0x548671489fe88a35:0xbff8aae01048f8e3,,
Pho 37,,https://www.google.com/maps/place/Pho+37/data=!4m2!3m1!1s0x548675027cff0f3b:0x268c22bfdb074e82,,
Bun Cha Ca Hoang Yen,,https://www.google.com/maps/place/Bun+Cha+Ca+Hoang+Yen/data=!4m2!3m1!1s0x548676a74cac3b5d:0x6c596974d93c3542,,
La Quercia & L'Ufficio,,https://www.google.com/maps/place/La+Quercia+%26+L'Ufficio/data=!4m2!3m1!1s0x548672560e5b85df:0xb2eed88e6b9ad843,,
Boulevard Kitchen & Oyster Bar,,https://www.google.com/maps/place/Boulevard+Kitchen+%26+Oyster+Bar/data=!4m2!3m1!1s0x548671801b0f04c7:0xd287e6fb211722b4,,
Zhao Mah Bakery Ltd,Wife cakes,https://www.google.com/maps/place/Zhao+Mah+Bakery+Ltd/data=!4m2!3m1!1s0x5486717033de33db:0x524cd22544a83ce2,,
Empire Seafood Restaurant,Dim Sum,https://www.google.com/maps/place/Empire+Seafood+Restaurant/data=!4m2!3m1!1s0x548675335668d19b:0x867a5d1f3f13b07b,,
Continental Seafood Restaurant,,https://www.google.com/maps/place/Continental+Seafood+Restaurant/data=!4m2!3m1!1s0x5486750dd5ec0a4d:0x68eff83bd31a0515,,
Caffé La Tana,,https://www.google.com/maps/place/Caff%C3%A9+La+Tana/data=!4m2!3m1!1s0x548671aa4b6ed19f:0x6a7b9e6c5f4dd1df,,
LE COQ FRIT (VANCOUVER),,https://www.google.com/maps/place/LE+COQ+FRIT+(VANCOUVER)/data=!4m2!3m1!1s0x54867331874e7e09:0x9745cd9466a1cf98,,
Fat Mao Noodles Downtown,,https://www.google.com/maps/place/Fat+Mao+Noodles+Downtown/data=!4m2!3m1!1s0x548673881deb7db9:0x3b6937ffd1abe05c,,
Thai Basil Restaurant,,https://www.google.com/maps/place/Thai+Basil+Restaurant/data=!4m2!3m1!1s0x5486722b50df0025:0xe3441ba993aeadd0,,
Mazahr Lebanese Kitchen,,https://www.google.com/maps/place/Mazahr+Lebanese+Kitchen/data=!4m2!3m1!1s0x5486731ca84906bf:0x33e753b8693cebf9,,
Al Basha Original (AlBasha)الباشا,,https://www.google.com/maps/place/Al+Basha+Original+(AlBasha)%D8%A7%D9%84%D8%A8%D8%A7%D8%B4%D8%A7%E2%80%AD/data=!4m2!3m1!1s0x548675facf390dbb:0x16a3a137d5937689,,
Neptune Palace Seafood Restaurant (Vancouver),,https://www.google.com/maps/place/Neptune+Palace+Seafood+Restaurant+(Vancouver)/data=!4m2!3m1!1s0x548675b6de57e2b3:0xee7b26ea4d41fdb3,,
Sooda Korean BBQ,,https://www.google.com/maps/place/Sooda+Korean+BBQ/data=!4m2!3m1!1s0x548671ea5b42e9f3:0xd72981065c1f4484,,
L & G Bubble Tea,,https://www.google.com/maps/place/L+%26+G+Bubble+Tea/data=!4m2!3m1!1s0x54867413ea48f1c5:0x2f39c5fdd4d902c3,,
Wang's Taiwan Beef Noodle House,,https://www.google.com/maps/place/Wang's+Taiwan+Beef+Noodle+House/data=!4m2!3m1!1s0x54867494a1d85553:0x923c454b06d6dc89,,
Skewers Souvlaki Pita Bar,,https://www.google.com/maps/place/Skewers+Souvlaki+Pita+Bar/data=!4m2!3m1!1s0x548671f5f589e1f5:0x2af408d181e4b20d,,
Kozak Ukrainian Restaurant,,https://www.google.com/maps/place/Kozak+Ukrainian+Restaurant/data=!4m2!3m1!1s0x5486719345d2458f:0x7f16a5982a0ee698,,
Granville Kebab & Poutine,,https://www.google.com/maps/place/Granville+Kebab+%26+Poutine/data=!4m2!3m1!1s0x548673e7c4d3f003:0xad6f0e5370c08217,,
Chinatown BBQ,,https://www.google.com/maps/place/Chinatown+BBQ/data=!4m2!3m1!1s0x54867170776f39d9:0xdf6b7f8ef834265f,,
Monster L Karaoke 燃·,,https://www.google.com/maps/place/Monster+L+Karaoke+%E7%87%83%C2%B7/data=!4m2!3m1!1s0x54867530268d5821:0xe0649c6085627ff0,,
Shanghai River Restaurant,,https://www.google.com/maps/place/Shanghai+River+Restaurant/data=!4m2!3m1!1s0x54860accb05d126d:0x141a7dcaeb2e5f0e,,
Ashiana Tandoori,,https://www.google.com/maps/place/Ashiana+Tandoori/data=!4m2!3m1!1s0x548676aba47acfd5:0x66cd6cf198fedcd0,,
Eat Chicken Wraps,,https://www.google.com/maps/place/Eat+Chicken+Wraps/data=!4m2!3m1!1s0x5486717f90cae7b5:0x86ae7fe0f369e2f5,,
Guu with Garlic,,https://www.google.com/maps/place/Guu+with+Garlic/data=!4m2!3m1!1s0x5486718809e42dc3:0x8d6e3a25a8d7d654,,
John 3:16 Malaysian Delights,,https://www.google.com/maps/place/John+3:16+Malaysian+Delights/data=!4m2!3m1!1s0x5486733a01e0bc0b:0xb85ca88abac2e37,,
Kook Korean BBQ Restaurant,,https://www.google.com/maps/place/Kook+Korean+BBQ+Restaurant/data=!4m2!3m1!1s0x548671a40b0ac7cb:0x9f0eebae70f6f08c,,
R & H Chinese Food,,https://www.google.com/maps/place/R+%26+H+Chinese+Food/data=!4m2!3m1!1s0x54867531b4085421:0x353448f227ab0d88,,
Stem Japanese Eatery,,https://www.google.com/maps/place/Stem+Japanese+Eatery/data=!4m2!3m1!1s0x54867640d929b16b:0xad790a16522a0290,,
Yuji's from Japan,,https://www.google.com/maps/place/Yuji's+from+Japan/data=!4m2!3m1!1s0x54867256013feaeb:0xafcecac52fed5c4,,
Piva Modern Italian,,https://www.google.com/maps/place/Piva+Modern+Italian/data=!4m2!3m1!1s0x5485d86e3f75a23f:0xefee1f34aa4d5625,,
Torafuku,,https://www.google.com/maps/place/Torafuku/data=!4m2!3m1!1s0x5486716508377b0d:0x40cee889c8d63e41,,
Salmon n' Bannock,,https://www.google.com/maps/place/Salmon+n'+Bannock/data=!4m2!3m1!1s0x548673c6ab40a5bb:0xf067dd0c8d9185d3,,
Taishoken Ramen,,https://www.google.com/maps/place/Taishoken+Ramen/data=!4m2!3m1!1s0x5486717bccd2c485:0xf26e6964dfe1f5d2,,
Mogu Fried Chicken,,https://www.google.com/maps/place/Mogu+Fried+Chicken/data=!4m2!3m1!1s0x548671f66fe8fc9b:0x6524c9754d0ccd67,,
Sushi Okeya Kyujiro,,https://www.google.com/maps/place/Sushi+Okeya+Kyujiro/data=!4m2!3m1!1s0x54867346bdbf5ae7:0xeb9af5ad94e2108,,
Sushi Hil,,https://www.google.com/maps/place/Sushi+Hil/data=!4m2!3m1!1s0x548673ec425d98a3:0xffe5052f6d53e244,,
"Fiorino, Italian Street Food Chinatown Vancouver",,"https://www.google.com/maps/place/Fiorino,+Italian+Street+Food+Chinatown+Vancouver/data=!4m2!3m1!1s0x548671714bac25f1:0xfaeee28e02e2c060",,
Karma Indian Bistro,,https://www.google.com/maps/place/Karma+Indian+Bistro/data=!4m2!3m1!1s0x548673937169b08d:0x5caf2e6bd3efdca9,,
Indian Fusion Restaurant,,https://www.google.com/maps/place/Indian+Fusion+Restaurant/data=!4m2!3m1!1s0x5486703c182b130b:0x702aff7908674cff,,
Sushi Mahana,,https://www.google.com/maps/place/Sushi+Mahana/data=!4m2!3m1!1s0x548671b548f93c79:0x3755422c9d05a221,,
Tetsu Sushi Bar,,https://www.google.com/maps/place/Tetsu+Sushi+Bar/data=!4m2!3m1!1s0x5486718838e07b57:0x3990b8d72e50bb6b,,
Masayoshi,,https://www.google.com/maps/place/Masayoshi/data=!4m2!3m1!1s0x54867407110db44b:0x79581154c47636b9,,
